Zipcode,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4
98105,1803.2270660312881,1850.6469002422116,1889.4473798844526,1872.9410406339002,1855.4567655796484,1931.1443722162992,1962.0255620579428,1909.1269849438534,1923.0658643762345,1982.204503153079,2007.859793082803,1969.1796992153722,1988.221903879483,2010.8170956788845,1987.1445144537308,1876.026827113585,1851.2140337747085,1950.9823898526595,2093.646120434552,2125.9786275787087
98115,1705.1739070239155,1767.567304692565,1792.3702159147745,1775.8646338645995,1768.4094342696874,1810.0080533820735,1830.6278520421063,1807.4168220135405,1802.4234567040821,1854.2245648958296,1881.1063500867476,1875.036652467834,1898.9484285383667,1904.3454943652096,1909.7278916816128,1828.1183601869,1792.9592552456609,1861.8770119304588,2007.7023964463576,2046.2997528848302
98103,1664.772243974791,1746.7690661940007,1763.4221989754362,1752.3245274444243,1770.1658151671581,1792.3491056302591,1820.7341945771689,1789.2063061464899,1793.185150408047,1825.7179555355608,1864.7353566047025,1857.1601377797522,1887.4198683497686,1888.4265402467215,1885.3808804314156,1806.8130932798965,1762.255014823492,1851.7259586240007,1944.2031257241479,1953.6127834225397
98133,1370.5354169171176,1398.8033279443277,1431.3147049090067,1425.6614107691282,1429.6064040706742,1444.0295583661955,1476.3379274715637,1457.9673212219113,1457.826854191311,1498.782832293943,1509.931682685575,1524.8214047709268,1537.46038202991,1557.5031904409886,1557.5779562476507,1541.975615444416,1520.6638681963839,1527.6856916230124,1637.5899776519952,1649.6933258022061
98125,1469.2110618632553,1484.983574288506,1534.440792819881,1509.4793134994434,1535.4669523496116,1560.3524377327558,1588.9191652323937,1558.9857489920907,1570.263986501861,1580.2046763851633,1619.149553089972,1605.3172857342297,1617.8996808049312,1652.7993816628739,1655.0936744533856,1609.7968287889014,1569.9270085462638,1607.2131365612022,1734.485009989191,1767.69536170367
98122,1715.1639081595576,1787.381161891377,1819.8138894062165,1799.9719240154027,1786.840390370826,1831.6370177543274,1854.1803490747723,1810.4987464134501,1840.079384170973,1859.305048751358,1909.594381840384,1898.9385253393818,1916.011883410106,1919.3301310654163,1870.3589637999887,1690.0682637422663,1628.107029402361,1750.5327497938072,1941.0963208286864,1958.901355047611
98117,1608.915186474055,1706.8946285473924,1710.449947178797,1658.0193257438923,1686.7572506514864,1735.5685516109768,1743.2257886554974,1724.8233917361742,1711.1485424829564,1769.306009045377,1793.8607728126,1779.7298878035956,1816.595444558525,1808.7478317622308,1840.144983163628,1785.7531203810122,1774.9692354614137,1821.0524805661635,1917.8522931810985,1954.2178823394163
98109,2025.1767025042907,2114.081746181008,2151.55139372047,2095.4043397641076,2042.6989001600832,2093.932790033965,2117.1968086020606,2078.8629239442976,2089.2585405648056,2160.0512349061632,2217.0484132224333,2201.017012704942,2238.295768465054,2222.382753163427,2136.180139874893,1945.9587004297127,1868.5167941583125,2058.465839156093,2294.221657138429,2272.201502285636
98144,1569.0303165047856,1603.7782988777199,1615.9148984482179,1608.7456509716706,1617.8591789376703,1672.7161543298355,1680.5158535168187,1682.1717784672726,1693.5067213677632,1712.0826348132932,1732.728919977637,1744.9020288078107,1789.8021958035315,1820.3054721566612,1825.7665133347239,1738.572656279354,1667.2287918119225,1771.9701184153937,1887.3443443103142,1917.132300002697
98107,1752.7149435085037,1834.501716543905,1892.443080795528,1850.4650876328553,1833.6333922777721,1869.1518321689161,1892.9393860303664,1888.203685506267,1869.12547692863,1935.5730943471165,1947.8871184345699,1920.3885346098057,1971.975835228567,2000.3650881537485,1970.4688570744074,1822.5060774198548,1784.8500696270087,1868.7163168545667,2042.8800983374283,2058.5752203764478
98116,1626.1887689768444,1688.1981575140262,1692.2448077620604,1713.4153009509646,1711.7522519180984,1763.46949737885,1782.2197416567033,1765.4817056872346,1772.0902650987898,1795.0914801516676,1821.5529291232062,1842.36845642931,1876.1022894432951,1865.542986143507,1761.860644551083,1705.9743414208242,1667.2225049007245,1730.4973492109905,1839.0652545560886,1899.6319441607093
98119,1641.0116038720628,1727.0331918887834,1738.2918756330573,1731.5208574779083,1709.9992012289788,1777.5666735212942,1779.8019367243803,1760.737772565196,1771.9722353359218,1837.1096294116523,1851.2687030179475,1831.1221389001205,1851.638541959676,1868.8188553360324,1816.5231449555804,1710.486463268241,1660.434716089314,1749.6145311719029,1880.5809613006916,1948.1314956830338
98199,1860.1783250712813,1902.5633460552465,1926.3776829286007,1928.9003686462747,1912.9872986670368,1975.6520330061078,1970.0513006141064,1994.4346229694602,2013.5923783925628,2035.7137355627717,2079.64413755596,2082.134921637107,2107.2810828607003,2131.8414274891957,2143.4349712708513,2113.706406808046,2095.3298370213456,2159.2225555211335,2251.2769816055497,2274.861231184022
98102,1688.0902738400328,1760.131737480955,1823.6510670842188,1756.8427960780955,1751.9817797060014,1775.2909156899757,1807.736734983527,1767.8926154982285,1784.1897240439273,1829.501493360019,1858.9998161509604,1836.4398940392723,1852.8042694438216,1842.8416880523407,1830.3476263345458,1672.026226754778,1637.987051451415,1685.9099357177593,1829.3202802154321,1866.2870162186707
98121,2312.19988673286,2382.0280418832713,2390.411393113388,2339.1670834499296,2315.4132207484117,2394.379853309391,2382.859557473898,2353.5963750644282,2385.768476359626,2439.8166690542944,2473.950146460319,2471.203365164604,2519.3139949080974,2494.4973421351747,2330.873949883404,2103.241860261965,2108.5541231491875,2289.062927258278,2553.59652405156,2476.372162423228
98101,2117.907545047944,2274.782654080928,2299.77276007941,2200.8452024835733,2184.3375164454314,2277.021958555741,2342.4752328611676,2260.777931383572,2268.619762438581,2357.052246608995,2421.2882189880997,2397.31775624965,2447.8890823094066,2474.433163713071,2327.3730637189365,2108.235727540831,2084.4175421716927,2255.9871860845083,2470.6468256374133,2480.873539431004
