,0
2017-Q1,602734.3846153846
2017-Q2,639774.8846153846
2017-Q3,660199.6923076923
2017-Q4,675987.3846153846
2018-Q1,718276.0
2018-Q2,760614.1923076923
2018-Q3,731133.8076923077
2018-Q4,702407.9230769231
2019-Q1,683218.0769230769
2019-Q2,702495.3076923077
2019-Q3,704458.9615384615
2019-Q4,686028.6153846154
2020-Q1,701633.5384615385
2020-Q2,725968.5384615385
2020-Q3,751073.2692307692
2020-Q4,737996.7692307692
2021-Q1,727661.6923076923
2021-Q2,773555.6538461539
2021-Q3,803016.4230769231
2021-Q4,801828.6923076923
